name,region,zielgruppe,foerderart,einsatz,link
ZIM (Zentrales Innovationsprogramm Mittelstand),bund,KMU,Zuschuss,Industrielle Forschung & Entwicklung,https://www.zim.de
BMBF – IKT Forschung,bund,KMU/Hochschule/ZIM-Kooperation,Zuschuss,KI/IKT Projekte,https://www.bmbf.de
KfW Digitalisierungsförderung,bund,KMU/Dienstleister,Kredit,Digitale Investitionen,https://www.kfw.de
IBB Digitalprämie,berlin,KMU/Zwischengröße,Zuschuss,Digitalisierung & KI,https://www.ibb.de
NRW.Bank Digitalisierungskredit,nrw,KMU,Kredit,Digitale Investitionen,https://www.nrwbank.de
L-Bank Digitalisierungsprämie,baden-württemberg,KMU,Kredit/Zuschuss,Digitalisierung,https://www.l-bank.de
